lon,childrenUrls,url,$type,commonName,children,placeType,lat,additionalProperties,id
-0.07813,[],https://api-argon.tfl.gov.uk/Place/BikePoints_39,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Shoreditch High Street, Shoreditch",[],BikePoint,51.526377,BikePoints_39
-0.075578,[],https://api-argon.tfl.gov.uk/Place/BikePoints_40,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Commercial Street, Shoreditch",[],BikePoint,51.52127,BikePoints_40
-0.083911,[],https://api-argon.tfl.gov.uk/Place/BikePoints_41,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Sun Street, Liverpool Street",[],BikePoint,51.520017,BikePoints_41
-0.093903,[],https://api-argon.tfl.gov.uk/Place/BikePoints_42,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Wenlock Road , Hoxton",[],BikePoint,51.530991,BikePoints_42
-0.157183,[],https://api-argon.tfl.gov.uk/Place/BikePoints_43,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Crawford Street, Marylebone",[],BikePoint,51.52026,BikePoints_43
-0.144165,[],https://api-argon.tfl.gov.uk/Place/BikePoints_44,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Bruton Street, Mayfair",[],BikePoint,51.510736,BikePoints_44
-0.162298,[],https://api-argon.tfl.gov.uk/Place/BikePoints_45,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Boston Place, Marylebone",[],BikePoint,51.522511,BikePoints_45
-0.183846,[],https://api-argon.tfl.gov.uk/Place/BikePoints_47,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Warwick Avenue Station, Maida Vale",[],BikePoint,51.523344,BikePoints_47
-0.099141,[],https://api-argon.tfl.gov.uk/Place/BikePoints_48,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Godliman Street, St. Paul's",[],BikePoint,51.512484,BikePoints_48
-0.145904,[],https://api-argon.tfl.gov.uk/Place/BikePoints_49,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Curzon Street, Mayfair",[],BikePoint,51.507069,BikePoints_49
-0.087459,[],https://api-argon.tfl.gov.uk/Place/BikePoints_50,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","East Road, Hoxton",[],BikePoint,51.528673,BikePoints_50
-0.104298,[],https://api-argon.tfl.gov.uk/Place/BikePoints_51,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Finsbury Library , Finsbury",[],BikePoint,51.526717,BikePoints_51
-0.094934,[],https://api-argon.tfl.gov.uk/Place/BikePoints_52,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Roscoe Street, St. Luke's",[],BikePoint,51.522954,BikePoints_52
-0.143495,[],https://api-argon.tfl.gov.uk/Place/BikePoints_53,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Grafton Street, Mayfair",[],BikePoint,51.509992,BikePoints_53
-0.094475,[],https://api-argon.tfl.gov.uk/Place/BikePoints_54,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Golden Lane, Barbican",[],BikePoint,51.521747,BikePoints_54
-0.086685,[],https://api-argon.tfl.gov.uk/Place/BikePoints_55,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Finsbury Circus, Liverpool Street",[],BikePoint,51.517075,BikePoints_55
-0.154701,[],https://api-argon.tfl.gov.uk/Place/BikePoints_56,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Paddington Street, Marylebone",[],BikePoint,51.520583,BikePoints_56
-0.120202,[],https://api-argon.tfl.gov.uk/Place/BikePoints_57,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Guilford Street , Bloomsbury",[],BikePoint,51.523346,BikePoints_57
-0.079248,[],https://api-argon.tfl.gov.uk/Place/BikePoints_58,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","New Inn Yard, Shoreditch",[],BikePoint,51.524526,BikePoints_58
-0.114329,[],https://api-argon.tfl.gov.uk/Place/BikePoints_59,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Rodney Street, Angel",[],BikePoint,51.531768,BikePoints_59
-0.17219,[],https://api-argon.tfl.gov.uk/Place/BikePoints_60,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Lisson Grove, St. John's Wood",[],BikePoint,51.526448,BikePoints_60
-0.089446,[],https://api-argon.tfl.gov.uk/Place/BikePoints_61,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Great Dover Street, The Borough",[],BikePoint,51.497382,BikePoints_61
-0.106323,[],https://api-argon.tfl.gov.uk/Place/BikePoints_62,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Cotton Garden Estate, Kennington",[],BikePoint,51.490757,BikePoints_62
-0.089782,[],https://api-argon.tfl.gov.uk/Place/BikePoints_63,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Murray Grove , Hoxton",[],BikePoint,51.53089,BikePoints_63
-0.124749,[],https://api-argon.tfl.gov.uk/Place/BikePoints_64,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","William IV Street, Strand",[],BikePoint,51.509462,BikePoints_64
-0.135188,[],https://api-argon.tfl.gov.uk/Place/BikePoints_65,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Gower Place , Euston",[],BikePoint,51.525227,BikePoints_65
-0.108657,[],https://api-argon.tfl.gov.uk/Place/BikePoints_66,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Holborn Circus, Holborn",[],BikePoint,51.51795,BikePoints_66
-0.108028,[],https://api-argon.tfl.gov.uk/Place/BikePoints_67,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Hatton Garden, Holborn",[],BikePoint,51.518825,BikePoints_67
-0.116688,[],https://api-argon.tfl.gov.uk/Place/BikePoints_68,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Theobald's Road , Holborn",[],BikePoint,51.520596,BikePoints_68
-0.134407,[],https://api-argon.tfl.gov.uk/Place/BikePoints_69,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Euston Road, Euston",[],BikePoint,51.526236,BikePoints_69
-0.117069,[],https://api-argon.tfl.gov.uk/Place/BikePoints_70,"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities","Calshot Street , King's Cross",[],BikePoint,51.53136,BikePoints_70
